['1620', 'Camden Practical Lab 123', 'C55C.123']
['1291', 'Camden Shute Wet Lab N179', 'C01A.N179']
['1889', 'Camden W&amp;C Park Farm', 'F1']
['1891', 'Camden Westwood', 'F3']
['1084', 'Carriageworks Bay 17', 'CWB17']
['413', 'Carslaw Comp Lab 610-611', 'F07.610-611']
['409', 'Carslaw Comp Lab 705-706', 'F07.705-706']
['392', 'Carslaw Dry Lab 401', 'F07.401']
['396', 'Carslaw Dry Lab 402', 'F07.402']
['394', 'Carslaw Dry Lab 407', 'F07.407']
['399', 'Carslaw Lab 829', 'F07.829']
['27', 'Carslaw Lab Room 408', 'F07.408']
['1924', 'Carslaw Learning Hub 201', 'F07.201']
['1925', 'Carslaw Learning Hub 202', 'F07.202']
['5', 'Carslaw Lect Theatre 157', 'F07.157-257']
['4', 'Carslaw Lect Theatre 159', 'F07.159-259']
['20', 'Carslaw Lect Theatre 173', 'F07.173']
['19', 'Carslaw Lect Theatre 175', 'F07.175']
['22', 'Carslaw Lect Theatre 273', 'F07.273']
['21', 'Carslaw Lect Theatre 275', 'F07.275']
['24', 'Carslaw Lect Theatre 373', 'F07.373']
['23', 'Carslaw Lect Theatre 375', 'F07.375']
['25', 'Carslaw Lecture Room 350', 'F07.350']
['188', 'Carslaw Lecture Room 351', 'F07.351']
['1995', 'Carslaw LS 352-354', 'F07.352-4']
['1996', 'Carslaw LS 355-357', 'F07.355-7']
['1242', 'Carslaw Room 199', 'F07.199']
['1641', 'Carslaw Seminar Room 374', 'F07.374']
['120', 'Carslaw Tutorial Room 274', 'F07.274']
['162', 'Carslaw Tutorial Room 352', 'F07.352']
['161', 'Carslaw Tutorial Room 353', 'F07.353']
['1752', 'Carslaw Tutorial Room 354', 'F07.354']
['118', 'Carslaw Tutorial Room 355', 'F07.355']
['160', 'Carslaw Tutorial Room 356', 'F07.356']
['159', 'Carslaw Tutorial Room 357', 'F07.357']
['598', 'Carslaw Tutorial Room 359', 'F07.359']
['119', 'Carslaw Tutorial Room 360', 'F07.360']
['76', 'Carslaw Tutorial Room 361', 'F07.361']
['70', 'Carslaw Tutorial Room 451', 'F07.451']
['53', 'Carslaw Tutorial Room 452', 'F07.452']
['69', 'Carslaw Tutorial Room 453', 'F07.453']
['115', 'Carslaw Tutorial Room 454', 'F07.454']
['117', 'Carslaw Tutorial Room 830', 'F07.830']
['389', 'Carslaw Wet Lab 301', 'F07.301']
