['MKTG1001 - Marketing Principles (Session 2)', ': Fri 21 Sep 2018', 'Fri 21 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['CLAW6031 - International Financial Crime (Session 2)', ': Sat 08 Sep 2018', 'Sat 08 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['CLAW5001 - Legal Environment of Business (Session 2)', ': Sat 15 Sep 2018', 'Sat 15 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['QBUS2810 - Statistical Modelling for Business (Session 2)', ': Sat 22 Sep 2018', 'Sat 22 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['QBUS5001 - Quantitative Methods for Business (Session 2)', ': Sat 03 Nov 2018', 'Sat 03 Nov 2018', ': 18:00', ': 18:00', 'Once Only']
['QBUS5001 - Quantitative Methods for Business (Session 2)', ': Mon 17 Sep 2018', 'Mon 17 Sep 2018', ': 19:00', ': 19:00', 'Once Only']
['CLAW1001 - Foundations of Business Law (Session 2)', ': Mon 22 Oct 2018', 'Mon 22 Oct 2018', ': 19:00', ': 19:00', 'Once Only']
['STAT5003 - Computational Statistical Methods (Session 2)', ': Wed 01 Aug 2018', 'Wed 31 Oct 2018', ': 19:00', ': 19:00', 'Weekly']
['FINC6015 - Trading in Securities Markets (Session 2)', ': Tue 11 Sep 2018', 'Tue 11 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['INFS5002 - Digital Business Foundations (Session 2)', ': Tue 18 Sep 2018', 'Tue 18 Sep 2018', ': 17:00', ': 17:00', 'Once Only']
['STAT5003 - Computational Statistical Methods (Session 2)', ': Wed 01 Aug 2018', 'Wed 31 Oct 2018', ': 19:00', ': 19:00', 'Weekly']
['QBUS5001 - Quantitative Methods for Business (Session 2)', ': Mon 17 Sep 2018', 'Mon 17 Sep 2018', ': 19:00', ': 19:00', 'Once Only']
